header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2,answerEN3,answerAR3,value3,answerEN4,answerAR4,value4,answerEN5,answerAR5,value5
Q1,Which is the next object in this sequence?\n![Q1.png](/api/backend/files/68a5a95c7f21f6005890cbd3.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q1 ARA.png](/api/backend/files/68a5a96854777a0058baa576.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q2,Which is the next object in this sequence?\n![Q2.png](/api/backend/files/68a5a97d54777a0058baa577.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q2 ARA.png](/api/backend/files/68a5a98654777a0058baa578.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q3,Which is the next object in this sequence?\n![Q3.png](/api/backend/files/68a5a9977f21f6005890cbde.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q3 ARA.png](/api/backend/files/68a5a99f54777a0058baa579.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q4,Which is the next object in this sequence?\n![Q4.png](/api/backend/files/68a5a9d25645e800583fdabc.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q4 ARA.png](/api/backend/files/68a5a9db7f21f6005890cbe5.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q5,Which is the next object in this sequence?\n![Q5.png](/api/backend/files/68a5a9ea54777a0058baa57f.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q5 ARA.png](/api/backend/files/68a5a9f25645e800583fdabd.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q6,Which is the next object in this sequence?\n![Q6.png](/api/backend/files/68a5aa087f21f6005890cbe6.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q6 ARA.png](/api/backend/files/68a5aa117f21f6005890cbe7.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q7,Which object can replace the ‘?’ in this pattern?\n![Q7.png](/api/backend/files/68a5aa225645e800583fdabe.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q7 ARA.png](/api/backend/files/68a5aa2b5645e800583fdabf.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q8,Which object can replace the ‘?’ in this pattern?\n![Q8.png](/api/backend/files/68a5aa3c54777a0058baa591.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q8 ARA.png](/api/backend/files/68a5aa4854777a0058baa592.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q9,Which object can replace the ‘?’ in this pattern?\n![Q9.png](/api/backend/files/68a5aa5a54777a0058baa593.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q9 ARA.png](/api/backend/files/68a5aa645645e800583fdac5.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q10,Which object can replace the ‘?’ in this pattern?\n![Q10.png](/api/backend/files/68a5aa767f21f6005890cbe8.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q10 ARA.png](/api/backend/files/68a5aa805645e800583fdac6.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q11,Which object can replace the ‘?’ in this pattern?\n![Q11.png](/api/backend/files/68a5aa8f7f21f6005890cbe9.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q11 ARA.png](/api/backend/files/68a5aa995645e800583fdac7.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q12,Which object can replace the ‘?’ in this pattern?\n![Q12.png](/api/backend/files/68a5aaa77f21f6005890cbea.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q12 ARA.png](/api/backend/files/68a5aabe5645e800583fdac8.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q13,Which object can replace the ‘?’ in this pattern?\n![Q13.png](/api/backend/files/68a5aad07f21f6005890cbeb.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q13 ARA.png](/api/backend/files/68a5aada7f21f6005890cbec.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q14,Which is the next object in this sequence?\n![Q14.png](/api/backend/files/68a5ae185645e800583fdad6.png)\n\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q14 ARA.png](/api/backend/files/68a5c3d35645e800583fdb24.png)\n\n\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q15,Which is the next object in this sequence?\n![Q15.png](/api/backend/files/68a5ae2a5645e800583fdadc.png)\n\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q15 ARA.png](/api/backend/files/68a5c3e87f21f6005890cc1c.png)\n\n,A,A,1,B,B,2,C,C,3,D,D,4,,,
Q16,Which is the next object in this sequence?\n![Q16.png](/api/backend/files/68a5ae3c5645e800583fdadd.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q16 ARA.png](/api/backend/files/68a5c40754777a0058baa5ec.png)\n\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q17,Which is the next object in this sequence?\n![Q17.png](/api/backend/files/68a5af3c7f21f6005890cbf9.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q17 ARA.png](/api/backend/files/68a5c41f7f21f6005890cc28.png)\n\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q18,Which is the next object in this sequence?\n![Q18.png](/api/backend/files/68a5af567f21f6005890cbfa.png)\n,ما هو العنصر التالي في هذه السلسلة؟\n![Q18 ARA.png](/api/backend/files/68a5c43e7f21f6005890cc29.png)\n\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q19,Which object can replace the ‘?’ in this pattern?\n![Q19.png](/api/backend/files/68a5af6c5645e800583fdae4.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q19 ARA.png](/api/backend/files/68a5c45854777a0058baa5ed.png)\n\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
Q20,Which object can replace the ‘?’ in this pattern?\n![Q20.png](/api/backend/files/68a5af8254777a0058baa5b8.png)\n,أيُّ عنصر يمكن أن يحل محل علامة الاستفهام ‘؟’ في هذا النمط؟\n![Q20 ARA.png](/api/backend/files/68a5c46b5645e800583fdb30.png)\n,A,A,1,B,B,2,C,C,3,D,D,4,E,E,5
